t,a
1,0.99386111111111419
2,-1.6737777777777794
3,19.190375000000014
4,29.814597222222233
5,52.02490277777779
6,57.742305555555561
7,62.089541666666662
8,60.5370555555556
9,45.021097222222267
10,29.165944444444428
11,20.396111111111118
12,24.097194444444398
13,31.309305555555571
14,25.992763888888902
15,4.4878472222222081
16,-2.0032361111110992
17,32.193402777777841
18,63.645069444444495
19,76.345652777777687
20,54.407624999999953
21,27.528416666666651
22,9.1560277777778012
23,-2.6548888888888653
24,4.1671388888888847
25,2.1155694444444246
26,5.5140694444444511
27,-0.17762499999999926
28,8.8065972222222388
29,25.006569444444445
30,40.294527777777759
31,53.0464305555556
32,59.076055555555619
33,103.81334722222218
34,99.006263888888824
35,71.071472222222241
36,36.627722222222218
37,-13.450291666666697
38,-31.5310694444445
39,-53.701291666666577
40,-55.931347222222236
41,-43.846569444444455
42,-27.7589861111111
43,-2.8274722222222346
44,7.5825555555555511
45,25.986986111111108
46,32.641000000000027
47,45.247569444444416
48,48.999138888888915
49,64.42883333333333
50,71.578111111111028
51,95.495805555555634
52,98.911055555555649
53,90.865763888888935
54,82.858486111111176
55,57.014125000000028
56,41.133361111111114
57,12.100138888888827
58,-8.2459027777778022
59,-34.552513888888882
60,-34.378194444444475
61,-17.430111111111096
62,-7.8024444444444212
63,15.953277777777798
64,29.5960277777778
65,54.120500000000064
66,58.095416666666708
67,55.652930555555542
68,62.883180555555576
69,70.369569444444423
70,65.174597222222275
71,38.896541666666707
72,26.553027777777764
73,22.377722222222246
74,21.808541666666674
75,10.142597222222225
76,10.878819444444442
77,32.408430555555533
78,52.643236111111143
79,66.210458333333335
80,67.25908333333328
81,76.848638888888885
82,75.714902777777752
83,46.008069444444445
84,30.305736111111148
85,15.755166666666666
86,10.261611111111113
87,-11.938124999999975
88,-21.897013888888917
89,-6.8352499999999656
90,10.318152777777758
91,16.090236111111153
92,6.9429861111111473
93,20.916777777777753
94,37.319874999999996
95,66.570708333333357
96,59.282194444444464
97,5.0689166666666816
98,1.655111111111095
99,16.878819444444449
100,33.976236111111142
101,36.334097222222226
102,22.902430555555583
103,-5.4204444444444446
104,-7.6812361111111
105,-8.7812638888888941
106,-6.4449027777777665
107,-1.6421666666666517
108,7.4490138888888868
109,45.300638888888862
110,68.281361111111124
111,81.120138888888874
112,75.58405555555558
113,80.677250000000043
114,84.891208333333353
115,110.00000000000007
116,108.61287500000006
117,91.014027777777713
118,84.635513888888809
119,73.942236111111171
120,67.485194444444474
121,49.4655277777778
122,38.881680555555569
123,29.985250000000025
124,18.756291666666677
125,-9.8837777777777838
126,-23.518513888888872
127,-27.417833333333334
128,-29.495277777777808
129,4.1865277777777559
130,15.759374999999944
131,36.489569444444506
132,48.374902777777905
133,55.281652777777794
134,60.825972222222255
135,81.768583333333268
136,77.973374999999976
137,54.759805555555538
138,41.9973055555555
139,34.470652777777865
140,38.093361111111044
141,33.90272222222228
142,32.928194444444543
143,47.492013888888884
144,66.768361111111034
145,81.755388888888859
146,66.830194444444572
147,52.83959722222211
148,51.766777777777769
149,64.73109722222226
150,62.348124999999989
151,61.098555555555535
152,60.223555555555549
153,50.808138888888813
154,37.736944444444475
155,34.276958333333326
156,33.724958333333333
157,46.079166666666687
158,55.5785138888888
159,63.154625000000031
160,61.785791666666732
161,19.094833333333323
162,0.78201388888887879
163,-17.25801388888889
164,-11.427763888888904
165,14.94793055555556
166,20.918402777777835
167,30.600208333333367
168,26.427444444444468
169,21.761041666666632
170,16.090777777777742
171,18.835638888888884
172,30.418069444444441
173,39.234305555555537
174,25.5740972222222
175,15.481666666666666
176,10.09034722222224
177,7.92183333333333
178,4.9328194444444389
179,-1.9878472222222168
180,-3.9559583333333408
181,-23.711791666666631
182,-43.9202777777778
183,-73.685999999999964
184,-69.890486111111073
185,-45.872749999999996
186,-37.270402777777733
187,-27.727069444444467
188,-17.384805555555559
189,-4.6292638888889011
190,7.8982361111111095
191,20.672902777777839
192,20.983583333333364
193,8.6327777777777914
194,-6.6282638888889567
195,-34.825458333333351
196,-43.848777777777777
197,-66.645361111111185
198,-66.444986111111
199,-68.756652777777774
200,-65.06172222222223
201,-38.470652777777794
202,-23.822861111111092
203,-12.790263888888878
204,-13.191319444444401
205,-10.376291666666694
206,-13.73933333333329
207,-34.467499999999966
208,-41.3945416666667
209,-42.664638888888916
210,-36.943694444444468
211,-13.294055555555563
212,6.997305555555549
213,37.430791666666671
214,43.2694027777778
215,36.55118055555554
216,26.3448611111111
217,13.487611111111134
218,15.191486111111121
219,7.2774166666666584
220,1.9672500000000066
221,-20.754847222222189
222,-19.961722222222225
223,-3.5251388888888768
224,13.469277777777755
225,32.690555555555562
226,30.379986111111108
227,17.060541666666662
228,3.2312361111111065
229,-15.859625000000028
230,-27.31048611111116
231,-32.826388888888935
232,-22.239972222222221
233,3.0499027777778434
234,16.658430555555562
235,19.428861111111111
236,14.062319444444467
237,9.6346249999999731
238,-0.707638888888868
239,-23.512374999999992
240,-47.097986111111041
241,-52.568541666666626
242,-33.402750000000033
243,4.4646250000000194
244,16.638208333333342
245,14.016430555555539
246,22.477708333333329
247,64.477486111111119
248,90.172999999999945
249,119.35509722222226
250,111.80558333333332
251,67.6841805555555
252,42.132680555555538
253,14.255041666666674
254,6.686013888888894
255,-8.1131111111111167
256,-26.939541666666617
257,-21.426208333333332
258,-12.818013888888849
259,-7.124055555555552
260,-15.886791666666577
261,-20.359541666666672
262,-3.1921111111110738
263,33.700388888888945
264,47.389402777777732
265,75.267861111111173
266,86.737000000000052
267,83.846111111111043
268,76.451125000000019
269,40.92381944444454
270,30.261208333333336
271,27.13652777777774
272,39.286555555555523
273,52.973666666666624
274,51.623736111111057
275,46.978444444444463
276,44.063208333333321
277,58.172541666666632
278,68.797388888888847
279,75.366486111111058
280,72.99345833333345
281,62.778541666666648
282,61.845513888888838
283,44.187958333333427
284,37.503833333333276
285,23.961111111111119
286,23.98543055555557
287,10.395680555555579
288,3.8981388888888309
289,0.54144444444445
290,14.313472222222217
291,31.701666666666689
292,33.914333333333381
293,42.529333333333255
294,53.70836111111111
